Sr. No,Date of drop out,Added by,pond_id,region,Tenancy type,Pond measurements,Reason,Further details on reason
95,11/08/2025,Chaitanya,pond_caca406c,Eluru,Leased,23,,Farmer has been unreachable for a very long time.
94,10/16/2025,Chaitanya,pond_5aaa5b01,Eluru,Owned,8,Changed to farming another species of finfish,Farmer decided to do Pangasius culture
93,10/16/2025,Chaitanya,pond_c295a799,Eluru,Leased,60,,Farmer sold all the fishes and gave away the lease agreement of this pond to another farmer and moved to another village
92,09/19/2025,Chaitanya,pond_cc764bfd,Eluru,Owned,13,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
91,09/19/2025,Chaitanya,pond_7c2f9913,Eluru,Leased,4,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
90,09/19/2025,Chaitanya,pond_bbf2cb2b,Eluru,Owned,6,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
89,09/19/2025,Chaitanya,pond_254a57a2,Eluru,Owned,6,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
88,09/19/2025,Chaitanya,pond_d452b0a2,Eluru,Owned,50,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
87,09/19/2025,Chaitanya,pond_28c916f9,Eluru,Leased,13,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
86,09/19/2025,Chaitanya,pond_01f1ab5c,Eluru,Leased,20,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
85,09/19/2025,Chaitanya,pond_c1aade15,Eluru,Owned,12,Changed to farming crustaceans (e.g. shrimp),The farmer is doing shrimp culture.
84,09/19/2025,Chaitanya,pond_f4e94600,Eluru,Leased,14,,The farmer is not working on this pond as this is under family property issues.
83,09/19/2025,Chaitanya,pond_811d5777,Eluru,Leased,2,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
82,09/19/2025,Chaitanya,pond_0efe30b0,Eluru,Owned,2,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
81,09/19/2025,Chaitanya,pond_7e1ace3d,Eluru,Leased,16,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
80,09/19/2025,Chaitanya,pond_e71ae278,Eluru,Leased,50,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
79,09/19/2025,Chaitanya,pond_90a9bb25,Eluru,Leased,30,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
78,09/19/2025,Chaitanya,pond_5a0db1d6,Eluru,Owned,2,Changed to farming crustaceans (e.g. shrimp),The farmer is doing Shrimp culture.
77,09/19/2025,Chaitanya,pond_a2125373,Eluru,Owned,20,Changed to farming another species of finfish,Farmer is doing Pangasius culture.
76,09/19/2025,Chaitanya,pond_040f0594,Eluru,Owned,40,Changed to farming crustaceans (e.g. shrimp),Farmer is doing shrimp culture.
75,09/19/2025,Chaitanya,pond_f41bd81d,Eluru,Owned,14,Changed to farming crustaceans (e.g. shrimp),Farmer is doing shrimp culture.
74,09/19/2025,Chaitanya,pond_32a4efa1,Eluru,Owned,2,Changed to farming crustaceans (e.g. shrimp),Farmer is doing shrimp culture.
73,09/19/2025,Chaitanya,pond_33221a45,Eluru,Owned,10,Changed to farming crustaceans (e.g. shrimp),Farmer is doing shrimp culture.
72,09/10/2025,Chaitanya,pond_18ce7935,Nellore,,38,Stopped farming fish,"Farmer stopped aquaculture, fish pond is transformed into paddy field."
71,09/10/2025,Chaitanya,pond_5773604b,Nellore,Owned,80,Stopped farming fish,"Farmer stopped aquaculture, fish pond is transformed into paddy field."
70,06/17/2025,Praveen,pond_518460bf,Eluru,Leased,10,Changed to farming another species of finfish,The farmer has stocked Pangasius and Roopchand along with IMC.
69,04/25/2025,Chaitanya,pond_f2e849c5,Nellore,Leased,80,,Not reducing the stocking density as per ARA commitment. Hence dropped out of the program.
68,04/08/2025,Praveen,pond_8a45828a,Eluru,Owned,104,,It is a very small pond (0.1 acres) and only one left in the region.
67,04/08/2025,Praveen,pond_f9e817c6,Eluru,Leased,30,,The farmer is not responding to our calls and not taking care of the pond so we decided to drop it out.
66,02/25/2025,Praveen,pond_6f30fefd,Eluru,Leased,0,,The lease is over and a new farmer has taken the pond over.
65,02/25/2025,Praveen,pond_70614260,Eluru,Leased,18,,The lease is over and a new farmer has taken the pond over.
64,02/25/2025,Praveen,pond_885057ef,Eluru,Leased,2,Changed to farming crustaceans (e.g. shrimp),The farmer has moved to Shrimp culture in this pond.
63,12/01/2024,Praveen,pond_c9e38cb5,Eluru,,6,,Farmers around this pond are not happy with outside people visiting the ponds. So the farmer has asked us to stop taking data from his ponds.
62,12/01/2024,Praveen,pond_ca0205fa,Eluru,,6,,Farmers around this pond are not happy with outside people visiting the ponds. So the farmer has asked us to stop taking data from his ponds.
61,11/15/2024,Praveen,pond_6118ad90,Eluru,Leased,14,,The lease for the pond is over and the farmer has left the pond.
60,11/15/2024,Praveen,pond_a6d694f5,Eluru,Owned,31,,The lease for the pond is over and the farmer has left the pond.
59,11/15/2024,Praveen,pond_09b2c644,Eluru,Leased,34,Changed to farming another species of finfish,The lease for the pond is over. A new farmer has taken the lease and is doing Pangasius culture.
58,11/14/2024,Praveen,pond_c2428871,Eluru,Leased,97,Changed to farming another species of finfish,The lease is over and the farmer has left the pond. The new farmer who took the pond for lease is doing Pangasius culture.
57,11/14/2024,Praveen,pond_f3ee5c50,Eluru,Owned,76,Changed to farming another species of finfish,The farmer has moved to Pangasius culture and is been reported that the pond is not maintained properly.
56,11/14/2024,Praveen,pond_3238ce6b,Eluru,Owned,76,Changed to farming another species of finfish,The farmer has moved to Pangasius culture and is been reported that the pond is not maintained properly.
55,11/14/2024,Praveen,pond_3f61267e,Eluru,,68,,The farmer has expired. The auction did not happen for a long time because of political issues.
54,11/14/2024,Praveen,pond_3f2d6b7f,Eluru,,8,Stopped farming fish,The farmer has stopped aquaculture.
53,11/14/2024,Praveen,pond_b11d4126,Eluru,Leased,3,,The lease is over and the farmer has left the pond. The farmer also mentioned disputes over sharing water with the neighbors as the reasons to leave the pond.
52,11/10/2024,Praveen,pond_7d39a2cf,Eluru,Leased,3,,The lease for the pond is over and the farmer has left the pond.
51,11/10/2024,Praveen,pond_32ca982f,Eluru,Leased,1,,The lease for the pond is over and the farmer has left the pond.
50,11/10/2024,Praveen,pond_8e2bb040,Eluru,Leased,18,,The lease for the pond is over and the farmer has left the pond.
49,11/10/2024,Praveen,pond_4389488f,Eluru,Owned,49,,We could not connect with the farmer for a long time and he has not been answering our calls.
48,11/08/2024,Praveen,pond_a296fb36,Eluru,,56,,This is a community pond and the auction did not take place yet. The farmer is not willing to take it for lease because of higher lease cost.
